name,Latitude,Longitude,state,region,address,stars,overall_rating,n_reviews,n_reviews_text,text_percentage
Acqua Lokos,-29.6392897,-49.9678649,RS,SUL,"Estrada do Mar, Km 50 - nº 2000 Entre Arroio Teixeira e Curumim, Capão da Canoa - RS",3,4.7,8542,3994,0.4675719972
Aroso Paço Hotel,-20.3813709,-41.0258578,ES,SUDESTE,"Rod. BR-262, km 89 S/n Pedra Azul, Domingos Martins - ES",5,4.7,1118,660,0.5903398927
Atlantic Hotel Copacabana,-22.9668796,-43.1862024,RJ,SUDESTE,"Rua Siqueira Campos, 90 - Copacabana, Rio de Janeiro - RJ",2,3.7,4983,2857,0.5733493879
Atlântico Center,-22.8988535,-43.1798015,RJ,SUDESTE,"Av. Rio Branco, 33 - Centro, Rio de Janeiro - RJ",0,2.9,1397,857,0.6134574087
Atlântico Inn Apart Hotel,-23.9664439,-46.3301584,SP,SUDESTE,"R. Jorge Tibiriçá, 4 - Gonzaga, Santos - SP",3,4.3,1471,849,0.5771583956
Atrium Quinta de Pedras,-1.46319,-48.50421,PA,NORTE,"R. Dr. Assis, 834 - Cidade Velha, Belém - PA",5,4.6,1392,802,0.5761494253
Blue Tree Thermas de Lins,-21.6845779,-49.7649983,SP,SUDESTE,"Rod.Mal.Rondon, Km. 444 3, s/n - Zona Rural, Lins - SP",4,4.7,5032,3146,0.6251987281
Boa Vista Eco Hotel,2.81723,-60.6839044,RR,NORTE,"Av. Glaycon de Paiva, 1240 - Mecejana, Boa Vista - RR",2,4.4,1139,559,0.4907813872
Bourbon Cataratas do Iguaçu Thermas Eco Resort,-25.5598575,-54.5595278,PR,SUL,"Av. das Cataratas, 2345 - Vila Yolanda, Foz do Iguaçu - PR",4,4.7,4868,2471,0.5076006574
Caravelle Palace Hotel,-25.4302911,-49.2753135,PR,SUL,"R. Cruz Machado, 282 - Centro, Curitiba - PR",4,3.6,3208,1744,0.5436408978
Castro's Park Hotel,-16.6793923,-49.2674956,GO,CENTRO-OESTE,"Av. República do Líbano, 1520 - St. Oeste, Goiânia - GO",5,4.6,3252,1648,0.5067650677
Copacabana Palace,-22.96731,-43.1793323,RJ,SUDESTE,"Av. Atlântica, 1702 - Copacabana, Rio de Janeiro - RJ",5,4.7,22215,9806,0.4416122495
Costa do Sauípe - Premium Sol,-12.4394695,-37.9184018,BA,NORDESTE,"BA-099, Km 74 - s/n - Linha Verde, Mata de São João - BA",4,4.6,24164,16091,0.6659079623
Costão do Santinho Resort,-27.4649135,-48.3810687,SC,SUL,"Praia do - Estr. Ver. Onildo Lemos, 2505 - Santinho, Florianópolis - SC",4,4.7,21281,10469,0.4919411682
Céu Palmas Hotel,-10.2636164,-48.3326009,TO,NORTE,"Quadra 201 Sul, Av. Joaquim Teotônio Segurado, 201 - Plano Diretor Expansão Sul, Palmas - TO",4,4.4,1074,541,0.5037243948
Dayrell Hotel & Centro de Convenções,-19.9226541,-43.9379041,MG,SUDESTE,"R. Espírito Santo, 901 - Centro, Belo Horizonte - MG",4,4.4,6116,2956,0.483322433
Fast Sleep,-23.4305731,-46.473043,SP,SUDESTE,"Aeroporto Internacional de Guarulhos, Terminal 02 Piso térreo, Ac. Aeroporto Internacional de Cumbica, Guarulhos - SP",2,4,3379,2093,0.6194140278
Golden Dolphin Grand Hotel - Central de Reservas,-17.7252497,-48.6434892,GO,CENTRO-OESTE,"Avenida Elias Bufaiçal, Gleba 01 - Jardim Belvedere, Caldas Novas - GO",3,4.1,9741,5444,0.5588748588
Grand Palladium Imbassaí Resort & Spa,-12.4821289,-37.9538142,BA,NORDESTE,"BA-099, Km 65 - s/n - Açu da Torre, Mata de São João - BA",5,4.7,20518,15192,0.7403869584
Grand Park Hotel,-20.4577702,-54.5791606,MS,CENTRO-OESTE,"Av. Afonso Pena, 5.282 - Chácara Cachoeira, Campo Grande - MS",4,4.6,2322,1100,0.4737295435
Grande Hotel Ipatinga,-19.4736773,-42.5505242,MG,SUDESTE,"Av. Brasil, 560 - Iguaçu, Ipatinga - MG",5,4.6,1285,644,0.5011673152
Guarany Hotel Express,-7.1231348,-34.8829161,PB,NORDESTE,"R. Mal. Almeida Barreto, 181 - Centro, João Pessoa - PB",3,4,1143,641,0.5608048994
Hotel Costa Norte - Ingleses,-27.4287948,-48.3977996,SC,SUL,"R. das Gaivotas, 984 - Ingleses Norte, Florianópolis - SC",4,4.6,1050,616,0.5866666667
Hotel Express,-15.6487265,-56.1233293,MT,CENTRO-OESTE,"Av. João Ponce de Arruda, 784 - Jardim Aeroporto, Várzea Grande - MT",2,3.9,1246,637,0.5112359551
Hotel Express Vieiralves,-3.1058259,-60.0237591,AM,NORTE,"R. Rio Ituxi, 95 - Nossa Sra. das Gracas, Manaus - AM",2,4.3,3058,1579,0.5163505559
Hotel Fazenda Mato Grosso,-15.6345761,-56.065105,MT,CENTRO-OESTE,"R. Antônio Dorileo, 1100 - Coxipó, Cuiabá - MT",3,4.4,4981,2313,0.4643645854
Hotel Fioreze Quero Quero,-29.3679446,-50.8632994,RS,SUL,"R. Dartagnan Oliveira, R. Vigilante, 200, Gramado - RS",3,4.9,1866,1311,0.7025723473
Hotel Golden Ingá,-23.4227034,-51.9371191,PR,SUL,"R. Néo Alves Martins, 2398 - Zona 01, Maringá - PR",3,4.5,2016,1022,0.5071960298
Hotel Jequitimar Guarujá Resort & SPA by Accor,-23.9686656,-46.1865875,SP,SUDESTE,"Av. Marjory da Silva Prado, 1100 - Balneario Praia do Pernambuco, Guarujá - SP",5,4.7,8016,4010,0.500249501
Hotel Pirâmide,-12.976316,-38.4625776,BA,NORDESTE,"Av. Pinto, 1 - Pernambués, Salvador - BA",2,3.4,2510,1294,0.5155378486
Hotel Privê do Atalaia,-0.5945723,-47.3123556,PA,NORTE,"Praia do Atalaia - R. Verdes Mares - Bairro Atalaia, Salinópolis - PA",4,4.1,2011,1138,0.5658876181
Hotel Soft Inn Belém Batista Campos,-1.457213,-48.4916124,PA,NORTE,"Av. Gentil Bitencourt, 85 - Batista Campos, Belém - PA",2,4.1,2590,1374,0.5305019305
Hotel Stop Inn Plus Pampulha - By MHB,-19.8614305,-43.9711237,MG,SUDESTE,"Av. das Palmeiras, 743 - São Luiz, Belo Horizonte - MG",4,4.1,1772,947,0.5344243792
Larison Hotéis,-8.7620105,-63.9053168,RO,NORTE,"Av. Carlos Gomes, 756 - São Cristóvão, Porto Velho - RO",4,4.5,1490,763,0.5124244459
Marina Park Hotel,-3.7197721,-38.5308676,CE,NORDESTE,"Av. Pres. Castelo Branco, 400 - Moura Brasil, Fortaleza - CE",5,4.3,7444,3855,0.5178667383
Posseidon Hotel,-5.5283853,-47.4804196,MA,NORDESTE,"Rua. Paraiba 740 esquina com, Av. Getúlio Vargas - Centro, Imperatriz - MA",3,4.3,1309,688,0.525592055
Prive Riviera Park Hotel,-17.7403188,-48.6318126,GO,CENTRO-OESTE,"Av. Cel. Cirilo Lopes de Morais, Quadra 27 - Lote 1/18 - Turista 1, Caldas Novas - GO",4,4.3,11580,6492,0.5606217617
Quality Suites Natal Ponta Negra,-5.8788848,-35.1758857,RN,NORDESTE,"Av. Engenheiro Roberto Freire, 4848 - Ponta Negra, Natal - RN",2,4.4,2680,1478,0.5514925373
Recife Praia Hotel,-8.0912501,-34.8825048,PE,NORDESTE,"Av. Boa Viagem, 9 - Pina, Recife - PE",3,4.2,7657,3782,0.4939271255
Resort do Lago,-17.776314,-48.592403,GO,CENTRO-OESTE,"Resort Do Lago - Avenida Caminho do Lago, s/n, Gleba 10D, Caldas Novas - GO",2,4,6188,3421,0.5528442146
Ritz Suites Hotel,-9.6324894,-35.6974765,AL,NORDESTE,"Av. Brigadeiro Eduardo Gomes de Brito, 125 - Cruz das Almas, Maceió - AL",4,4.5,6685,3738,0.5590786719
Royal Tulip Brasília Alvorada,-15.7859946,-47.8521697,DF,CENTRO-OESTE,"SHTN Trecho 1 Conjunto 1B, Bloco C - Asa Norte, Brasília - DF",5,4.7,6141,3208,0.5225606776
Taj Mahal Continental Hotel,-3.1304158,-60.0212946,AM,NORTE,"Av. Getúlio Vargas, 741 - Centro, Manaus - AM",5,3.7,1872,1012,0.5405982906
Tauá Resort Caeté,-19.7688073,-43.6276334,MG,SUDESTE,"BR-381, 12000 Zona Rural, Caeté - MG",3,4.7,8528,4989,0.5850140713
Vivá Porto De Galinhas Resort,-8.4508991,-34.9842476,PE,NORDESTE,"Avenida Beira Mar, Lote B, Gleba 2, s/n Praia do Cupe, Ipojuca - PE",4,4.8,5845,3422,0.5854576561
Wish Foz do Iguaçu,-25.5805737,-54.5198817,PR,SUL,"Av. das Cataratas, 6845 - Tamandua, Foz do Iguaçu - PR",5,4.8,5424,3699,0.6819690265
