name,latitude,longitude
Acqua Lokos,-29.6392897,-49.9678649
Aroso Paço Hotel,-20.3813709,-41.0258578
Atlantic Hotel Copacabana,-22.9668796,-43.1862024
Atlântico Center,-22.8988535,-43.1798015
Atlântico Inn Apart Hotel,-23.9664439,-46.3301584
Atrium Quinta de Pedras,-1.46319,-48.50421
Blue Tree Thermas de Lins,-21.6845779,-49.7649983
Boa Vista Eco Hotel,2.81723,-60.6839044
Bourbon Cataratas do Iguaçu Thermas Eco Resort,-25.5598575,-54.5595278
Caravelle Palace Hotel,-25.4302911,-49.2753135
Castro's Park Hotel,-16.6793923,-49.2674956
Copacabana Palace,-22.96731,-43.1793323
Costa do Sauípe - Premium Sol,-12.4394695,-37.9184018
Costão do Santinho Resort,-27.4649135,-48.3810687
Céu Palmas Hotel,-10.2636164,-48.3326009
Dayrell Hotel & Centro de Convenções,-19.9226541,-43.9379041
Fast Sleep,-23.4305731,-46.473043
Golden Dolphin Grand Hotel - Central de Reservas,-17.7252497,-48.6434892
Grand Palladium Imbassaí Resort & Spa,-12.4821289,-37.9538142
Grand Park Hotel,-20.4577702,-54.5791606
Grande Hotel Ipatinga,-19.4736773,-42.5505242
Guarany Hotel Express,-7.1231348,-34.8829161
Hotel Costa Norte - Ingleses,-27.4287948,-48.3977996
Hotel Express,-15.6487265,-56.1233293
Hotel Express Vieiralves,-3.1058259,-60.0237591
Hotel Fazenda Mato Grosso,-15.6345761,-56.065105
Hotel Fioreze Quero Quero,-29.3679446,-50.8632994
Hotel Golden Ingá,-23.4227034,-51.9371191
Hotel Jequitimar Guarujá Resort & SPA by Accor,-23.9686656,-46.1865875
Hotel Pirâmide,-12.976316,-38.4625776
Hotel Privê do Atalaia,-0.5945723,-47.3123556
Hotel Soft Inn Belém Batista Campos,-1.457213,-48.4916124
Hotel Stop Inn Plus Pampulha - By MHB,-19.8614305,-43.9711237
Larison Hotéis,-8.7620105,-63.9053168
Marina Park Hotel,-3.7197721,-38.5308676
Posseidon Hotel,-5.5283853,-47.4804196
Prive Riviera Park Hotel,-17.7403188,-48.6318126
Quality Suites Natal Ponta Negra,-5.8788848,-35.1758857
Recife Praia Hotel,-8.0912501,-34.8825048
Resort do Lago,-17.776314,-48.592403
Ritz Suites Hotel,-9.6324894,-35.6974765
Royal Tulip Brasília Alvorada,-15.7859946,-47.8521697
Taj Mahal Continental Hotel,-3.1304158,-60.0212946
Tauá Resort Caeté,-19.7688073,-43.6276334
Vivá Porto De Galinhas Resort,-8.4508991,-34.9842476
Wish Foz do Iguaçu,-25.5805737,-54.5198817
Wish Hotel da Bahia,-12.9878127,-38.5215705
Wyndham Gramado Termas Resort & Spa,-29.4015295,-50.932749
hotel Umuarama,-16.6730503,-49.2571631
ibis budget Manaus,-3.0991539,-60.0243028
