name,reviews,rating,city,state,latitude,longitude,range,business_status,google_id,place_id,done,n_reviews,sort_by,hl,url
Wyndham Olimpia Royal Hotel,12835.0,4.5,Olímpia,São Paulo,-20.7174664,-48.9177196,4 estrelas,OPERATIONAL,0x94bc6fa8fe446ec9:0x5ccb78373a2d5e26,ChIJyW5E_qhvvJQRJl4tOjd4y1w,0,12835.0,most_relevant,pt-br,0x94bc6fa8fe446ec9:0x5ccb78373a2d5e26
Hotel Villa Lobos Spa Romantik,8762.0,4.8,Extrema,Minas Gerais,-22.8432949,-46.3299538,4 estrelas,OPERATIONAL,0x94ceadae1ef20e39:0x4b6fe14511fcf394,ChIJOQ7yHq6tzpQRlPP8EUXhb0s,0,8762.0,most_relevant,pt-br,0x94ceadae1ef20e39:0x4b6fe14511fcf394
Thermas de Olimpia Resorts By Mercure,7487.0,4.0,Olímpia,São Paulo,-20.721898,-48.9162383,4 estrelas,OPERATIONAL,0x94bc6fad6183b5eb:0x9eb505faccb668d4,ChIJ67WDYa1vvJQR1Gi2zPoFtZ4,0,7487.0,most_relevant,pt-br,0x94bc6fad6183b5eb:0x9eb505faccb668d4
Hotel Fazenda Vale do Sol,4667.0,4.6,Serra Negra,SP,-22.6045336,-46.6946694,,OPERATIONAL,0x94c9186bd01db787:0x18ca5e125783c845,ChIJh7cd0GsYyZQRRciDVxJeyhg,0,4667.0,most_relevant,pt-br,0x94c9186bd01db787:0x18ca5e125783c845
Hotel Porto Real Resort,4570.0,4.5,Mangaratiba,Rio de Janeiro,-23.0356863,-44.1492368,4 estrelas,OPERATIONAL,0x9c439790749def:0x61cb3cde96c15a95,ChIJ7510kJdDnAARlVrBlt48y2E,0,4570.0,most_relevant,pt-br,0x9c439790749def:0x61cb3cde96c15a95
Portobello Resort & Safári,4255.0,4.6,Mangaratiba,Rio de Janeiro,-22.9501169,-44.0744582,5 estrelas,OPERATIONAL,0x9c6a9a8337cdd7:0xe20a66eb67847410,ChIJ1803g5pqnAAREHSEZ-tmCuI,0,4255.0,most_relevant,pt-br,0x9c6a9a8337cdd7:0xe20a66eb67847410
Machadinho Thermas Resort SPA,3868.0,4.7,Machadinho,RS,-27.5883079,-51.6596297,3 estrelas,OPERATIONAL,0x94e3c8376db9dfbf:0x687babd1574933f2,ChIJv9-5bTfI45QR8jNJV9Gre2g,0,3868.0,most_relevant,pt-br,0x94e3c8376db9dfbf:0x687babd1574933f2
Hotel Amoaras,3666.0,4.4,Paulista,Pernambuco,-7.844983,-34.8388902,4 estrelas,OPERATIONAL,0x94cfaed1db3d203b:0x20e8aa345f7057b7,ChIJOyA929Guz5QRt1dwXzSq6CA,0,3666.0,most_relevant,pt-br,0x94cfaed1db3d203b:0x20e8aa345f7057b7
Hotel Vallér,3371.0,4.5,Lajeado,Rio Grande do Sul,-29.4460296,-51.981163,3 estrelas,OPERATIONAL,0x951c61a73d3c60f1:0xd8297466c492aa4b,ChIJ8WA8PadhHJURS6qSxGZ0Kdg,0,3371.0,most_relevant,pt-br,0x951c61a73d3c60f1:0xd8297466c492aa4b
Hotel Ibis Budget,3289.0,4.0,Jundiaí,São Paulo,-23.2015144,-46.8915223,2 estrelas,OPERATIONAL,0x94cf26bb5bae7f2b:0xdecf607bdf052b9,ChIJK3-uW7smz5QRuVLwvQf27A0,0,3289.0,most_relevant,pt-br,0x94cf26bb5bae7f2b:0xdecf607bdf052b9
Santa Clara Eco Resort,2818.0,4.8,Dourado,São Paulo,-22.0977888,-48.327501,5 estrelas,OPERATIONAL,0x94b89984a032f1b9:0x460fa4175929d1e8,ChIJufEyoISZuJQR6NEpWRekD0Y,0,2818.0,most_relevant,pt-br,0x94b89984a032f1b9:0x460fa4175929d1e8
AFPESP - Serra Negra,2802.0,4.7,Serra Negra,São Paulo,-22.5533151,-46.66099819999999,,OPERATIONAL,0x94c91828fff01f5f:0xd3538ae5e7ab2863,ChIJXx_w_ygYyZQRYyir5-WKU9M,0,2802.0,most_relevant,pt-br,0x94c91828fff01f5f:0xd3538ae5e7ab2863
Ibis Passo Fundo Centro,2757.0,4.2,Passo Fundo,Rio Grande do Sul,-28.2624728,-52.4097628,3 estrelas,OPERATIONAL,0x94e2bf7dc2e3e865:0xb3522458442ce06d,ChIJZejjwn2_4pQRbeAsRFgkUrM,0,2757.0,most_relevant,pt-br,0x94e2bf7dc2e3e865:0xb3522458442ce06d
Life Hotel Torres,2747.0,3.9,Torres,Rio Grande do Sul,-29.3401208,-49.7271933,3 estrelas,OPERATIONAL,0x952269a67c923001:0x6ed6afb1f61c0ff1,ChIJATCSfKZpIpUR8Q8c9rGv1m4,0,2747.0,most_relevant,pt-br,0x952269a67c923001:0x6ed6afb1f61c0ff1
Pousada Catavento,2686.0,4.2,Piraí,Rio de Janeiro,-22.6665033,-43.8417269,3 estrelas,OPERATIONAL,0x9ea939935271b1:0xf5b5a923d2ea9e05,ChIJsXFSkzmpngARBZ7q0iOptfU,0,2686.0,most_relevant,pt-br,0x9ea939935271b1:0xf5b5a923d2ea9e05
Hotel Porto Marina Rede Mont Blanc,2577.0,4.5,Mangaratiba,RJ,-22.9271336,-43.9040284,3 estrelas,OPERATIONAL,0x9c0e8aeefa1c3b:0x909d24cde4683d87,ChIJOxz67ooOnAARhz1o5M0knZA,0,2577.0,most_relevant,pt-br,0x9c0e8aeefa1c3b:0x909d24cde4683d87
Ibis,2441.0,4.2,Taubaté,São Paulo,-23.0355629,-45.5717972,3 estrelas,OPERATIONAL,0x94ccf8e542e977e1:0x947e5d604a7cabaa,ChIJ4XfpQuX4zJQRqqt8SmBdfpQ,0,2441.0,most_relevant,pt-br,0x94ccf8e542e977e1:0x947e5d604a7cabaa
